female,moth_birthyr,fath_birthyr,married,age,employed,degree,asset_inc,labor_inc,total_wealth,total_income
1,1979.0,,0,20.0,1,0,0,30375,0,30375
1,1978.0,1978.0,0,20.0,1,0,0,14400,0,14400
0,1977.0,1978.0,0,18.0,7,0,0,2400,0,2400
0,1980.0,1980.0,0,18.0,1,0,0,6300,0,6300
1,1983.0,1981.0,0,19.0,6,0,0,2600,0,2600
1,1980.0,1980.0,0,17.0,1,0,0,10800,0,10800
0,1980.0,1975.0,0,16.0,1,0,0,2700,0,2700
0,,,0,19.0,3,0,0,20000,0,20000
1,1970.0,1965.0,0,23.0,1,0,0,37800,0,37800
0,1970.0,1965.0,0,19.0,1,0,0,33280,0,33280
1,1980.0,1973.0,0,18.0,1,0,0,7000,0,7000
0,1963.0,1965.0,0,23.0,1,2,0,8400,0,8400
0,1963.0,1965.0,0,21.0,7,1,0,14400,0,14400
0,1963.0,1965.0,0,19.0,7,0,0,4000,0,4000
0,1976.0,1976.0,0,18.0,7,0,0,2880,0,2880
0,1979.0,1977.0,0,20.0,1,0,0,7800,0,7800
1,1958.0,1958.0,0,43.0,0,0,0,14400,0,14400
1,1972.0,1977.0,0,15.0,0,0,0,4000,0,4000
1,,,0,90.0,4,0,0,0,50000,74000
1,1973.0,1968.0,1,31.0,1,2,0,80000,0,80000
0,,,1,53.0,1,0,0,100000,0,100000
0,1972.0,1971.0,0,24.0,1,0,0,33280,0,33280
1,1972.0,1971.0,0,17.0,7,0,0,2000,0,2000
1,1962.0,1963.0,0,30.0,1,0,0,50000,0,50000
0,,,0,31.0,1,0,0,95000,0,95000
1,1984.0,,0,21.0,1,0,0,14400,0,14400
0,,1979.0,0,23.0,1,0,0,45760,0,45760
0,1958.0,,0,41.0,1,0,0,61000,0,61000
1,1971.0,1969.0,0,21.0,1,1,0,5400,0,5400
0,,1982.0,0,23.0,3,0,0,5550,0,5550
0,,1981.0,0,22.0,1,0,0,42000,0,42000
1,,,0,26.0,1,2,0,74402,0,74402
1,1962.0,1959.0,1,33.0,1,0,0,42000,0,42000
0,1981.0,,0,22.0,9,0,0,14400,0,14400
1,1979.0,1979.0,0,22.0,1,0,0,38376,0,38376
1,1974.0,1961.0,0,28.0,1,2,14000,14000,14000,28000
0,1960.0,1960.0,0,34.0,1,2,0,35000,0,35000
0,1966.0,1967.0,0,28.0,1,0,0,14400,0,14400
1,1973.0,1971.0,0,25.0,1,2,0,7276,0,7276
0,1972.0,1972.0,0,25.0,1,2,0,300,0,300
1,1973.0,1971.0,0,20.0,1,0,0,33539,0,33539
1,1972.0,1972.0,0,22.0,1,0,0,25000,0,25000
1,1971.0,1970.0,0,21.0,1,0,0,19500,0,19500
1,1972.0,1972.0,0,18.0,1,0,0,11450,0,11450
0,1973.0,1971.0,0,18.0,1,0,0,4063,0,4063
1,1980.0,1978.0,0,22.0,1,0,0,2000,0,2000
0,,,1,29.0,1,0,0,50000,0,50000
0,1975.0,,0,22.0,1,2,0,10000,0,10000
1,1975.0,1975.0,0,19.0,7,0,0,3000,0,3000
1,1979.0,1979.0,0,18.0,1,0,0,11700,0,11700
0,1975.0,1975.0,0,17.0,7,0,0,2000,0,2000
